time,G(i),H_sun,T2m,WS10m,Int
20230310:1811,5.51,2.48,3.96,4.34,0
20230310:1911,0,0,3.68,4.62,0
20230310:2011,0,0,3.51,5.1,0
20230310:2111,0,0,3.29,5.17,0
20230310:2211,0,0,3.57,6.41,0
20230310:2311,0,0,3.27,6.62,0
20230311:0011,0,0,2.99,6.69,0
20230311:0111,0,0,3.08,7.17,0
20230311:0211,0,0,2.89,7.17,0
20230311:0311,0,0,2.77,8,0
20230311:0411,0,0,2.8,7.86,0
20230311:0511,0,0,2.71,8.48,0
20230311:0611,0,0,2.79,8.69,0
20230311:0711,0,0,2.77,9.03,0
20230311:0811,22.05,9.03,3.02,9.38,0
20230311:0911,44.1,17.17,3.33,8.83,0
20230311:1011,67.99,24.19,4.33,8,0
20230311:1111,45.94,29.52,5.39,6.34,0
20230311:1211,86.36,32.6,7.2,4.34,0
20230311:1311,238.11,32.99,9.38,7.79,0
20230311:1411,129.55,30.63,10.42,9.66,0
20230311:1511,340.86,25.87,10.3,9.31,0
20230311:1611,196.54,19.27,10.24,8.62,0
20230311:1711,273.89,11.39,10.13,8.69,0
20230311:1811,7.35,2.76,9.87,9.31,0
20230311:1911,0,0,9.65,9.38,0
20230311:2011,0,0,9.9,9.52,0
20230311:2111,0,0,9.8,9.59,0
20230311:2211,0,0,9.81,8.76,0
20230311:2311,0,0,9.63,8.41,0
20230312:0011,0,0,9.53,8.07,0
20230312:0111,0,0,9.45,8.69,0
20230312:0211,0,0,9.41,7.72,0
20230312:0311,0,0,9.45,7.1,0
20230312:0411,0,0,9.42,7.17,0
20230312:0511,0,0,9.35,6.83,0
20230312:0611,0,0,9.35,6.62,0
20230312:0711,0,0,9.5,6.14,0
20230312:0811,31.24,9.4,9.4,8.41,0
20230312:0911,137.47,17.54,9.64,9.59,0
20230312:1011,98.31,24.57,9.86,8.83,0
20230312:1111,204.36,29.92,9.93,8.69,0
20230312:1211,121.28,33,9.82,9.1,0
20230312:1311,104.74,33.38,9.95,8.83,0
20230312:1411,172.35,31,10.1,7.24,0
20230312:1511,69.83,26.21,10.15,5.79,0
20230312:1611,56.96,19.58,10.15,5.52,0
20230312:1711,81.91,11.68,10.29,6.28,0
20230312:1811,1.84,3.03,10.32,7.31,0
20230312:1911,0,0,10.36,8.62,0
20230312:2011,0,0,10.65,9.93,0
20230312:2111,0,0,10.85,11.24,0
20230312:2211,0,0,10.7,10.97,0
20230312:2311,0,0,10.44,10,0
20230313:0011,0,0,9.92,9.24,0
20230313:0111,0,0,9.92,9.24,0
20230313:0211,0,0,10.15,9.86,0
20230313:0311,0,0,9.95,9.66,0
20230313:0411,0,0,9.75,9.17,0
20230313:0511,0,0,9.63,8.97,0
20230313:0611,0,0,9.44,8,0
20230313:0711,0,0,9.48,7.17,0
20230313:0811,184.83,9.76,9.58,7.03,0
20230313:0911,252.99,17.91,9.73,7.24,0
20230313:1011,149.12,24.96,9.35,4.97,0
20230313:1111,384.36,30.32,9.05,5.1,0
20230313:1211,115.76,33.4,8.42,8.14,0
20230313:1311,266.69,33.77,8.08,7.31,0
20230313:1411,472.11,31.37,8.01,7.72,0
20230313:1511,546.37,26.55,8.03,8.62,0
20230313:1611,492.55,19.89,7.47,9.45,0
20230313:1711,196.61,11.97,6.95,9.79,0
20230313:1811,9.19,3.31,6.43,9.79,0
20230313:1911,0,0,6.13,9.86,0
20230313:2011,0,0,5.84,10,0
20230313:2111,0,0,5.72,9.79,0
20230313:2211,0,0,6.39,9.17,0
20230313:2311,0,0,6.51,8.83,0
20230314:0011,0,0,5.58,8.41,0
20230314:0111,0,0,4.48,9.03,0
20230314:0211,0,0,3.97,8.28,0
20230314:0311,0,0,3.81,6.28,0
20230314:0411,0,0,3.55,5.52,0
20230314:0511,0,0,3.51,6.07,0
20230314:0611,0,0,3.54,5.52,0
20230314:0711,0,0,3.73,5.79,0
20230314:0811,66.14,10.12,4.23,7.38,0
20230314:0911,309.09,18.29,4.76,8.34,0
20230314:1011,223.95,25.35,4.97,7.72,0
20230314:1111,165.49,30.72,5.77,7.72,0
20230314:1211,894.88,33.8,5.81,7.93,0
20230314:1311,392.48,34.15,5.79,7.52,0
20230314:1411,878.17,31.73,6.3,6.41,0
20230314:1511,741.86,26.89,6.62,5.93,0
20230314:1611,539.22,20.2,6.72,5.31,0
20230314:1711,312.55,12.26,6.61,4.97,0
20230314:1811,5.51,3.59,6.21,3.79,0
20230314:1911,0,0,5.59,2.62,0
20230314:2011,0,0,5.13,2.14,0
20230314:2111,0,0,4.85,1.86,0
20230314:2211,0,0,4.82,1.66,0
20230314:2311,0,0,4.41,2.55,0
20230315:0011,0,0,4.74,3.17,0
20230315:0111,0,0,5.09,4.14,0
20230315:0211,0,0,5.38,5.1,0
20230315:0311,0,0,5.37,5.72,0
20230315:0411,0,0,5.47,6.07,0
20230315:0511,0,0,5.45,6.62,0
20230315:0611,0,0,5.44,7.38,0
20230315:0711,0.92,1.69,5.58,8,0
20230315:0811,30.32,10.49,6.02,8.14,0
20230315:0911,62.48,18.66,6.73,8.41,0
20230315:1011,98.31,25.73,7.53,8.76,0
20230315:1111,97.39,31.11,8.17,8.55,0
20230315:1211,87.28,34.2,8.71,8.21,0
20230315:1311,105.66,34.54,9.37,8.41,0
20230315:1411,100.15,32.1,9.97,8.83,0
20230315:1511,130.61,27.22,10.28,8.62,0
20230315:1611,154.32,20.51,10.26,7.93,0
20230315:1711,108.5,12.55,10.24,7.31,0
20230315:1811,8.27,3.87,10.24,6.83,0
20230315:1911,0,0,10.15,6.55,0
20230315:2011,0,0,9.93,6.62,0
20230315:2111,0,0,9.93,6.55,0
20230315:2211,0,0,9.97,6.14,0
20230315:2311,0,0,10.11,7.1,0
20230316:0011,0,0,10.33,7.93,0
20230316:0111,0,0,10.44,8.28,0
20230316:0211,0,0,10.42,8.69,0
20230316:0311,0,0,10.41,8.9,0
20230316:0411,0,0,10.4,8.55,0
20230316:0511,0,0,10.43,8.83,0
20230316:0611,0,0,10.64,9.24,0
20230316:0711,1.84,2.05,10.71,8.83,0
20230316:0811,135.08,10.85,10.69,8.34,0
20230316:0911,132.21,19.04,10.68,8.76,0
20230316:1011,176.66,26.12,10.88,7.1,0
20230316:1111,260.28,31.51,10.94,7.24,0
20230316:1211,692.11,34.6,10.84,7.17,0
20230316:1311,297.43,34.93,10.89,7.24,0
20230316:1411,847.59,32.46,10.9,7.31,0
20230316:1511,726.08,27.56,11.13,7.1,0
20230316:1611,517.76,20.81,11.15,6.83,0
20230316:1711,284.92,12.84,10.85,6.76,0
20230316:1811,24.01,4.14,10.71,6.48,0
20230316:1911,0,0,10.15,6.28,0
20230316:2011,0,0,9.9,5.93,0
20230316:2111,0,0,9.65,6.14,0
20230316:2211,0,0,9.55,5.66,0
20230316:2311,0,0,9.5,5.93,0
20230317:0011,0,0,9.49,6,0
20230317:0111,0,0,9.44,6.14,0
20230317:0211,0,0,9.35,6.41,0
20230317:0311,0,0,9.32,6.69,0
20230317:0411,0,0,9.5,6.76,0
20230317:0511,0,0,9.69,6.62,0
20230317:0611,0,0,9.73,6.41,0
20230317:0711,4.59,2.42,9.81,6.14,0
20230317:0811,191.92,11.22,9.81,6.21,0
20230317:0911,186.31,19.42,10.12,6.14,0
20230317:1011,359.82,26.51,10.46,5.86,0
20230317:1111,742.71,31.91,10.85,5.31,0
20230317:1211,367.02,35,11.16,4.83,0
20230317:1311,45.94,35.32,11.36,4.34,0
20230317:1411,291.01,32.83,11.26,3.93,0
20230317:1511,425,27.89,11.15,3.72,0
20230317:1611,314.12,21.12,10.77,3.59,0
20230317:1711,132.83,13.12,10.34,2.83,0
20230317:1811,4.59,4.42,10.04,2.41,0
20230317:1911,0,0,9.6,1.93,0
20230317:2011,0,0,9.42,1.86,0
20230317:2111,0,0,9.12,1.86,0
20230317:2211,0,0,9.15,1.66,0
20230317:2311,0,0,9.08,1.31,0
20230318:0011,0,0,8.79,0.28,0
20230318:0111,0,0,8.85,0.62,0
20230318:0211,0,0,8.97,1.52,0
20230318:0311,0,0,8.51,1.86,0
20230318:0411,0,0,8.38,2.48,0
20230318:0511,0,0,8.48,3.38,0
20230318:0611,0,0,8.82,5.31,0
20230318:0711,4.59,2.78,9.15,7.52,0
20230318:0811,114.27,11.59,9,8.48,0
20230318:0911,204.9,19.79,8.52,8.76,0
20230318:1011,671.25,26.9,8.14,8.76,0
20230318:1111,840.13,32.31,8.61,8.41,0
20230318:1211,907.88,35.4,8.89,8.76,0
20230318:1311,897.43,35.71,8.93,8.97,0
20230318:1411,853.99,33.19,8.86,8.9,0
20230318:1511,709.17,28.22,8.68,8.97,0
20230318:1611,510.73,21.43,8.33,8.62,0
20230318:1711,306.57,13.41,7.93,8.21,0
20230318:1811,30.53,4.69,7.54,7.38,0
20230318:1911,0,0,7.23,6.83,0
20230318:2011,0,0,7.1,5.93,0
20230318:2111,0,0,6.98,5.17,0
20230318:2211,0,0,6.95,4.41,0
20230318:2311,0,0,6.77,3.31,0
20230319:0011,0,0,6.69,2.62,0
20230319:0111,0,0,6.63,2.28,0
20230319:0211,0,0,6.47,2.07,0
20230319:0311,0,0,6.4,1.79,0
20230319:0411,0,0,6.32,1.93,0
20230319:0511,0,0,6.52,2.76,0
20230319:0611,0,0,6.63,3.52,0
20230319:0711,1.84,3.14,6.48,4.83,0
20230319:0811,51.45,11.95,6.89,6.07,0
20230319:0911,71.66,20.17,7.26,6.69,0
20230319:1011,96.47,27.29,6.84,7.38,0
20230319:1111,97.39,32.71,6.89,7.59,0
20230319:1211,106.58,35.8,6.99,8.21,0
20230319:1311,216.21,36.1,7.42,8.62,0
20230319:1411,136.9,33.55,8.08,8.76,0
20230319:1511,61.56,28.56,9.18,9.17,0
20230319:1611,79.01,21.73,9.97,8.55,0
20230319:1711,54.21,13.69,10.41,8.34,0
20230319:1811,11.03,4.96,10.48,8.28,0
20230319:1911,0,0,10.45,7.66,0
20230319:2011,0,0,10.49,6.83,0
20230319:2111,0,0,10.41,6.55,0
20230319:2211,0,0,10.29,6.07,0
20230319:2311,0,0,10.27,6.62,0
20230320:0011,0,0,10.24,7.03,0
20230320:0111,0,0,10.2,7.59,0
20230320:0211,0,0,10.23,7.79,0
20230320:0311,0,0,10.31,7.45,0
20230320:0411,0,0,10.28,7.1,0
20230320:0511,0,0,10.24,6.62,0
20230320:0611,0,0,10.13,7.03,0
20230320:0711,4.59,3.5,10.1,6.97,0
20230320:0811,48.69,12.32,10.17,6.69,0
20230320:0911,138.66,20.55,10.36,7.1,0
20230320:1011,73.5,27.68,10.53,7.31,0
20230320:1111,123.11,33.11,10.78,8.07,0
20230320:1211,103.82,36.21,10.88,8,0
20230320:1311,168.13,36.49,10.92,8.28,0
20230320:1411,113.01,33.92,11.04,7.86,0
20230320:1511,173.19,28.89,11.01,7.59,0
20230320:1611,67.99,22.03,10.72,7.72,0
20230320:1711,30.32,13.98,10.3,7.17,0
20230320:1811,6.43,5.24,9.9,6.9,0
20230320:1911,0,0,10.14,7.1,0
20230320:2011,0,0,10.07,6.97,0
20230320:2111,0,0,10,6.69,0
20230320:2211,0,0,9.52,6.97,0
20230320:2311,0,0,9.43,6.41,0
20230321:0011,0,0,9.42,5.31,0
20230321:0111,0,0,9.22,4.41,0
20230321:0211,0,0,9.1,4.55,0
20230321:0311,0,0,9.08,5.31,0
20230321:0411,0,0,9.18,6.14,0
20230321:0511,0,0,9.33,7.03,0
20230321:0611,0,0,9.45,6.83,0
20230321:0711,0,0,9.25,7.1,0
20230321:0811,0,0,9.32,6.55,0
20230321:0911,56.96,20.93,9.48,7.45,0
20230321:1011,113.93,28.07,9.88,8.55,0
20230321:1111,90.96,33.52,9.97,9.17,0
20230321:1211,148.84,36.61,9.78,9.38,0
20230321:1311,101.06,36.88,9.83,10.55,0
20230321:1411,94.63,34.28,10.04,10.62,0
20230321:1511,73.5,29.22,10.1,10.97,0
20230321:1611,27.56,22.34,10.27,11.52,0
20230321:1711,19.29,14.26,10.62,11.52,0
20230321:1811,23.28,5.51,10.89,11.03,0
20230321:1911,0,0,10.81,10.41,0
20230321:2011,0,0,10.6,9.86,0
20230321:2111,0,0,10.23,9.72,0
20230321:2211,0,0,10.1,10.14,0
20230321:2311,0,0,8.39,15.66,0
20230322:0011,0,0,7.68,13.52,0
20230322:0111,0,0,7.84,13.03,0
20230322:0211,0,0,8.27,12.97,0
20230322:0311,0,0,8.12,12.48,0
20230322:0411,0,0,7.99,12.14,0
20230322:0511,0,0,7.68,12.07,0
20230322:0611,0,0,7.82,12,0
20230322:0711,0,0,7.74,11.45,0
20230322:0811,44.1,13.06,7.5,11.59,0
20230322:0911,301.13,21.31,7.97,10.9,0
20230322:1011,653.12,28.46,8.48,10.28,0
20230322:1111,697.25,33.92,8.65,10.34,0
20230322:1211,130.46,37.01,8.66,9.79,0
20230322:1311,298.97,37.26,8.55,9.72,0
20230322:1411,181.93,34.64,8.6,9.31,0
20230322:1511,62.48,29.55,8.35,9.79,0
20230322:1611,376.83,22.64,8.01,9.79,0
20230322:1711,73.64,14.54,8.22,9.79,0
20230322:1811,30.17,5.78,7.65,9.66,0
20230322:1911,0,0,7.38,11.38,0
20230322:2011,0,0,7.56,10.69,0
20230322:2111,0,0,7.64,10.14,0
20230322:2211,0,0,7.07,8.83,0
20230322:2311,0,0,7.23,9.17,0
20230323:0011,0,0,7.43,8.55,0
20230323:0111,0,0,7.69,7.72,0
20230323:0211,0,0,8.03,6.62,0
20230323:0311,0,0,7.92,6.48,0
20230323:0411,0,0,7.6,6.97,0
20230323:0511,0,0,7.76,7.66,0
20230323:0611,0,0,7.95,7.86,0
20230323:0711,3.68,4.59,7.98,8,0
20230323:0811,141.12,13.43,8.17,9.38,0
20230323:0911,158.85,21.68,8.49,9.72,0
20230323:1011,635.13,28.85,8.93,9.24,0
20230323:1111,623.41,34.32,9.24,9.93,0
20230323:1211,176.4,37.41,9.29,11.24,0
20230323:1311,918.2,37.65,9.3,10.55,0
20230323:1411,179.15,35,9.5,10.34,0
20230323:1511,449.15,29.88,9.58,11.03,0
20230323:1611,556.91,22.94,9.45,11.59,0
20230323:1711,285.46,14.82,8.29,11.38,0
20230323:1811,5.51,6.05,8.09,11.03,0
20230323:1911,0,0,7.68,10.55,0
20230323:2011,0,0,7.32,10.28,0
20230323:2111,0,0,7.53,10.48,0
20230323:2211,0,0,7.63,8.76,0
20230323:2311,0,0,7.92,11.03,0
20230324:0011,0,0,7.97,11.45,0
20230324:0111,0,0,8.05,11.59,0
20230324:0211,0,0,8.16,12.21,0
20230324:0311,0,0,8.14,11.72,0
20230324:0411,0,0,8.25,11.17,0
20230324:0511,0,0,8.18,11.31,0
20230324:0611,0,0,8.17,12,0
20230324:0711,28.73,4.95,8.17,12.41,0
20230324:0811,70.9,13.79,8.22,13.24,0
20230324:0911,199.36,22.06,8.43,13.52,0
20230324:1011,392.84,29.24,8.6,15.03,0
20230324:1111,273.74,34.72,8.7,14.9,0
20230324:1211,214.78,37.81,8.53,14.21,0
20230324:1311,126.79,38.04,8.67,13.03,0
20230324:1411,644.97,35.36,8.58,12.76,0
20230324:1511,209.06,30.2,8.57,12.62,0
20230324:1611,107.5,23.24,8.76,11.93,0
20230324:1711,250.06,15.1,8.77,10.83,0
20230324:1811,5.51,6.32,8.46,10.14,0
20230324:1911,0,0,8.24,9.66,0
20230324:2011,0,0,8.38,8.9,0
20230324:2111,0,0,8.41,8.83,0
20230324:2211,0,0,8.16,7.86,0
20230324:2311,0,0,8.25,7.79,0
20230325:0011,0,0,8.27,8.07,0
20230325:0111,0,0,8.24,7.72,0
20230325:0211,0,0,8.26,7.72,0
20230325:0311,0,0,8.41,7.93,0
20230325:0411,0,0,8.31,7.52,0
20230325:0511,0,0,8.46,6.97,0
20230325:0611,0,0,8.57,6.41,0
20230325:0711,28.09,5.32,8.52,5.86,0
20230325:0811,242,14.16,8.61,6,0
20230325:0911,490.04,22.44,8.98,6.07,0
20230325:1011,719.64,29.63,9.18,5.38,0
20230325:1111,837.5,35.12,9.56,4.9,0
20230325:1211,592.95,38.21,9.69,4.55,0
20230325:1311,735.54,38.42,9.83,3.59,0
20230325:1411,872.37,35.72,9.88,3.38,0
20230325:1511,751.51,30.53,9.89,3.17,0
20230325:1611,410.14,23.54,9.69,2.07,0
20230325:1711,95.85,15.38,9.64,1.38,0
20230325:1811,35.17,6.59,9.63,2.62,0
20230325:1911,0,0,9.26,2.97,0
20230325:2011,0,0,8.8,3.24,0
20230325:2111,0,0,8.23,4.21,0
20230325:2211,0,0,8.51,5.72,0
20230325:2311,0,0,8.22,5.45,0
20230326:0011,0,0,7.99,5.03,0
20230326:0111,0,0,7.7,4.69,0
20230326:0211,0,0,7.5,4.62,0
20230326:0311,0,0,7.25,4.41,0
20230326:0411,0,0,7.01,4.62,0
20230326:0511,0,0,7.02,4.76,0
20230326:0611,0,0,7.17,4.69,0
20230326:0711,25.4,5.68,7.16,4.55,0
20230326:0811,119.23,14.53,7.64,4.28,0
20230326:0911,293.4,22.81,8.55,3.93,0
20230326:1011,538.95,30.02,9.43,3.79,0
20230326:1111,683.83,35.52,10.09,3.52,0
20230326:1211,392.47,38.61,10.45,3.72,0
20230326:1311,436.07,38.81,10.53,4,0
20230326:1411,389.36,36.07,10.67,3.79,0
20230326:1511,287.38,30.86,10.89,3.72,0
20230326:1611,548.37,23.83,10.75,3.86,0
20230326:1711,346.36,15.66,10.03,3.66,0
20230326:1811,70.46,6.86,9.78,3.03,0
20230326:1911,0,0,9.35,2.62,0
20230326:2011,0,0,8.44,2.83,0
20230326:2111,0,0,7.68,3.24,0
20230326:2211,0,0,7.37,3.52,0
20230326:2311,0,0,6.68,3.45,0
20230327:0011,0,0,6.34,3.86,0
20230327:0111,0,0,5.92,4.28,0
20230327:0211,0,0,5.62,4.62,0
20230327:0311,0,0,5.6,4.83,0
20230327:0411,0,0,5.5,4.97,0
20230327:0511,0,0,5.33,4.9,0
20230327:0611,0,0,5.12,4.9,0
20230327:0711,32.33,6.04,5.08,5.17,0
20230327:0811,141.55,14.89,5.79,5.38,0
20230327:0911,488.92,23.19,6.88,6.48,0
20230327:1011,700.75,30.41,8.21,6,0
20230327:1111,453.47,35.91,8.83,6.21,0
20230327:1211,444.48,39.01,9.22,6.76,0
20230327:1311,863.99,39.19,10.08,6.69,0
20230327:1411,170.89,36.43,10.34,6.55,0
20230327:1511,191.89,31.18,10.58,6.34,0
20230327:1611,160.78,24.13,10.66,6.34,0
20230327:1711,101.07,15.93,10.57,6,0
20230327:1811,20.21,7.12,10.32,6.69,0
20230327:1911,0,0,9.86,7.45,0
20230327:2011,0,0,9.36,8.14,0
20230327:2111,0,0,8.94,8.55,0
20230327:2211,0,0,8.61,8.48,0
20230327:2311,0,0,8.46,8.9,0
20230328:0011,0,0,8.26,9.31,0
20230328:0111,0,0,8.24,9.93,0
20230328:0211,0,0,8.09,9.93,0
20230328:0311,0,0,8.18,9.59,0
20230328:0411,0,0,8.44,9.31,0
20230328:0511,0,0,8.81,9.38,0
20230328:0611,0,0,9.02,8.48,0
20230328:0711,48.73,6.4,9.27,8,0
20230328:0811,74.86,15.26,9.49,7.17,0
20230328:0911,186.39,23.56,9.95,6.48,0
20230328:1011,243.57,30.8,10.41,6.21,0
20230328:1111,292.21,36.31,10.89,6.55,0
20230328:1211,458.27,39.41,11.19,6.14,0
20230328:1311,892.39,39.58,11.32,6.62,0
20230328:1411,402.78,36.78,11.42,6.83,0
20230328:1511,412.06,31.5,11.42,7.38,0
20230328:1611,225.46,24.42,11.4,8.07,0
20230328:1711,73.42,16.21,11.21,8,0
20230328:1811,42.05,7.39,11.11,8.14,0
20230328:1911,0,0,10.99,8,0
20230328:2011,0,0,11.05,8.14,0
20230328:2111,0,0,11.01,8.28,0
20230328:2211,0,0,10.92,8.14,0
20230328:2311,0,0,10.81,8.34,0
20230329:0011,0,0,10.84,8.28,0
20230329:0111,0,0,10.89,8.69,0
20230329:0211,0,0,10.87,8.83,0
20230329:0311,0,0,10.9,8.69,0
20230329:0411,0,0,10.94,8.83,0
20230329:0511,0,0,10.86,8.9,0
20230329:0611,0,0,10.72,8.97,0
20230329:0711,5.51,6.76,10.77,10.21,0
20230329:0811,72.08,15.62,10.93,10.9,0
20230329:0911,217.53,23.94,11.08,11.1,0
20230329:1011,381.49,31.18,11.42,10.28,0
20230329:1111,802.94,36.71,11.63,10.55,0
20230329:1211,461.58,39.8,11.05,11.52,0
20230329:1311,159.86,39.96,11.05,11.31,0
20230329:1411,747.35,37.14,11.14,10.9,0
20230329:1511,768.5,31.82,11.13,10.21,0
20230329:1611,438.49,24.72,10.98,9.59,0
20230329:1711,242.58,16.48,11.03,9.1,0
20230329:1811,117.55,7.65,10.74,8.14,0
20230329:1911,0,0,10.35,7.52,0
20230329:2011,0,0,9.96,7.1,0
20230329:2111,0,0,9.92,7.1,0
20230329:2211,0,0,9.79,6.55,0
20230329:2311,0,0,9.86,6.48,0
20230330:0011,0,0,9.8,6.9,0
20230330:0111,0,0,9.83,6.97,0
20230330:0211,0,0,9.6,6.9,0
20230330:0311,0,0,9.52,7.1,0
20230330:0411,0,0,9.6,7.86,0
20230330:0511,0,0,9.76,8.28,0
20230330:0611,0,0,9.78,8.34,0
20230330:0711,49.43,7.12,9.81,8.55,0
20230330:0811,172.48,15.99,10.03,8.41,0
20230330:0911,494.83,24.31,10.46,8.28,0
20230330:1011,682.88,31.57,10.82,7.72,0
20230330:1111,871.46,37.1,11.03,8.07,0
20230330:1211,894.12,40.2,11.12,8.28,0
20230330:1311,931.21,40.34,11.23,7.45,0
20230330:1411,582.63,37.49,11.6,7.03,0
20230330:1511,493.34,32.14,11.52,6.48,0
20230330:1611,200.49,25.01,11.39,6.21,0
20230330:1711,117.85,16.76,11.1,5.79,0
20230330:1811,60.06,7.92,10.7,5.66,0
20230330:1911,0,0,10.4,5.66,0
20230330:2011,0,0,9.95,6.28,0
20230330:2111,0,0,9.61,6.34,0
20230330:2211,0,0,9.82,5.03,0
20230330:2311,0,0,9.69,4.55,0
20230331:0011,0,0,9.51,4,0
20230331:0111,0,0,9.4,3.24,0
20230331:0211,0,0,9.32,2.55,0
20230331:0311,0,0,9.27,2.83,0
20230331:0411,0,0,9.23,3.93,0
20230331:0511,0,0,9.2,5.1,0
20230331:0611,0,0,9.35,6.07,0
20230331:0711,10.11,7.48,9.55,6.28,0
20230331:0811,78.48,16.35,9.64,6.21,0
20230331:0911,108.41,24.68,9.7,6.14,0
20230331:1011,188.11,31.95,9.74,6.55,0
20230331:1111,418.98,37.5,9.86,6.48,0
20230331:1211,506.59,40.59,10.09,6.83,0
20230331:1311,655.26,40.72,10.27,7.17,0
20230331:1411,357.2,37.84,10.44,7.59,0
20230331:1511,459.81,32.46,10.46,7.72,0
20230331:1611,487.49,25.3,10.51,7.86,0
20230331:1711,195.94,17.03,10.44,7.38,0
20230331:1811,57.24,8.18,10.22,6.97,0
20230331:1911,0,0,9.89,6.41,0
20230331:2011,0,0,9.52,5.72,0
20230331:2111,0,0,9.57,5.45,0
20230331:2211,0,0,9.32,5.24,0
20230331:2311,0,0,9.14,4.9,0
20230401:0011,0,0,8.97,4.69,0
20230401:0111,0,0,8.98,4.55,0
20230401:0211,0,0,8.8,4.62,0
20230401:0311,0,0,8.75,5.31,0
20230401:0411,0,0,8.66,5.86,0
20230401:0511,0,0,8.63,6.55,0
20230401:0611,0,0,8.65,7.1,0
20230401:0711,71.78,7.83,8.59,7.59,0
20230401:0811,272.06,16.71,8.81,8.07,0
20230401:0911,322.13,25.05,9.02,8.97,0
20230401:1011,625.68,32.33,9.4,8.83,0
20230401:1111,880.24,37.89,9.6,8.76,0
20230401:1211,879.77,40.99,9.8,8.55,0
20230401:1311,814.11,41.09,10.02,8.69,0
20230401:1411,933.34,38.19,9.97,8.48,0
20230401:1511,799.86,32.77,9.65,8.34,0
20230401:1611,605.85,25.59,9.49,7.93,0
20230401:1711,367.96,17.3,9.47,7.45,0
20230401:1811,122.05,8.44,9.16,6.76,0
20230401:1911,0,0,8.74,5.66,0
20230401:2011,0,0,8.15,5.03,0
20230401:2111,0,0,7.78,4.28,0
20230401:2211,0,0,7.21,3.1,0
20230401:2311,0,0,6.87,2.69,0
20230402:0011,0,0,6.71,2.9,0
20230402:0111,0,0,6.65,2.97,0
20230402:0211,0,0,6.46,2.69,0
20230402:0311,0,0,6.14,2.48,0
20230402:0411,0,0,5.74,2.28,0
20230402:0511,0,0,5.49,1.86,0
20230402:0611,0,0,5.62,1.72,0
20230402:0711,76.7,8.19,5.29,1.93,0
20230402:0811,287.57,17.07,6.38,2.07,0
20230402:0911,456.12,25.42,8.08,2.14,0
20230402:1011,419.05,32.71,8.6,3.17,0
20230402:1111,632.54,38.28,9.07,3.72,0
20230402:1211,731.28,41.38,9.46,4.34,0
20230402:1311,642.77,41.47,9.71,4.55,0
20230402:1411,494.54,38.53,9.97,4.21,0
20230402:1511,295.35,33.09,10.11,4,0
20230402:1611,435.18,25.87,10.29,4.34,0
20230402:1711,221.38,17.57,10.32,4.34,0
20230402:1811,24.81,8.7,10.19,3.93,0
20230402:1911,0,0,9.79,4.07,0
20230402:2011,0,0,9.25,5.03,0
20230402:2111,0,0,9.11,6.34,0
20230402:2211,0,0,8.75,6.83,0
20230402:2311,0,0,8.22,7.59,0
20230403:0011,0,0,7.77,7.17,0
20230403:0111,0,0,7.63,7.59,0
20230403:0211,0,0,7.47,7.59,0
20230403:0311,0,0,7.65,7.45,0
20230403:0411,0,0,7.74,7.66,0
20230403:0511,0,0,7.84,7.59,0
20230403:0611,0,0,8.09,7.72,0
20230403:0711,49.88,8.54,8.31,7.93,0
20230403:0811,63.39,17.43,8.59,7.86,0
20230403:0911,71.66,25.79,8.92,9.03,0
20230403:1011,222.99,33.09,9.34,9.24,0
20230403:1111,163.54,38.67,9.81,9.31,0
20230403:1211,115.76,41.77,10.06,8.9,0
20230403:1311,108.41,41.84,10.14,7.52,0
20230403:1411,115.76,38.88,10.15,6.9,0
20230403:1511,137.81,33.4,10.13,6.62,0
20230403:1611,65.23,26.16,10.12,6.21,0
20230403:1711,28.48,17.83,9.99,6.14,0
20230403:1811,16.54,8.96,9.8,6.34,0
20230403:1911,0,0,9.47,6.55,0
20230403:2011,0,0,9.34,6.9,0
20230403:2111,0,0,9.15,7.24,0
20230403:2211,0,0,9.07,7.03,0
20230403:2311,0,0,8.82,7.59,0
20230404:0011,0,0,8.7,7.86,0
20230404:0111,0,0,8.59,7.93,0
20230404:0211,0,0,8.56,8,0
20230404:0311,0,0,8.49,8,0
20230404:0411,0,0,8.41,8.14,0
20230404:0511,0,0,8.46,8.28,0
20230404:0611,0,0,8.44,8.41,0
20230404:0711,63.01,8.89,8.61,8.62,0
20230404:0811,247.03,17.78,8.75,8.48,0
20230404:0911,196.55,26.15,9.13,8.83,0
20230404:1011,181.04,33.47,9.57,9.38,0
20230404:1111,164.46,39.06,10.25,9.1,0
20230404:1211,239.8,42.16,10.46,8.21,0
20230404:1311,252.36,42.22,10.6,8.41,0
20230404:1411,170.89,39.22,10.49,8.34,0
20230404:1511,165.2,33.71,10.29,8.76,0
20230404:1611,123.83,26.44,10.19,9.31,0
20230404:1711,31.24,18.1,10.04,9.45,0
20230404:1811,26.64,9.22,9.95,9.45,0
20230404:1911,0,0,9.83,9.17,0
20230404:2011,0,0,9.78,8.62,0
20230404:2111,0,0,9.85,8.34,0
20230404:2211,0,0,10.02,8.07,0
20230404:2311,0,0,10.15,8.21,0
20230405:0011,0,0,10.25,8.41,0
20230405:0111,0,0,10.36,8.34,0
20230405:0211,0,0,10.42,8.28,0
20230405:0311,0,0,10.36,7.86,0
20230405:0411,0,0,10.25,7.72,0
20230405:0511,0,0,10.17,7.59,0
