time,G(i),H_sun,T2m,WS10m,Int
20230107:0011,0,0,7.85,6.21,0
20230107:0111,0,0,7.59,6.76,0
20230107:0211,0,0,7.49,8.69,0
20230107:0311,0,0,7.38,8.97,0
20230107:0411,0,0,7.27,9.03,0
20230107:0511,0,0,6.95,8.83,0
20230107:0611,0,0,7,10.07,0
20230107:0711,0,0,6.9,10.97,0
20230107:0811,0,0,6.46,11.59,0
20230107:0911,5.51,1.51,6.01,11.52,0
20230107:1011,110.71,7.49,7.5,12.48,0
20230107:1111,264.1,11.81,8,14.28,0
20230107:1211,183.94,14.15,8.11,15.45,0
20230107:1311,16.54,14.28,7.87,16.14,0
20230107:1411,49.61,12.21,7.92,15.79,0
20230107:1511,8.27,8.1,8.24,15.52,0
20230107:1611,2.76,2.3,8.29,14.34,0
20230107:1711,0,0,8.7,12.48,0
20230107:1811,0,0,8.81,13.24,0
20230107:1911,0,0,8.84,13.93,0
20230107:2011,0,0,9.35,14.48,0
20230107:2111,0,0,8.78,14.41,0
20230107:2211,0,0,8.73,14.28,0
20230107:2311,0,0,8.42,14.14,0
20230108:0011,0,0,8.22,14.14,0
20230108:0111,0,0,8.02,15.24,0
20230108:0211,0,0,7.95,15.38,0
20230108:0311,0,0,7.82,14.62,0
20230108:0411,0,0,7.62,13.52,0
20230108:0511,0,0,6.89,12.62,0
20230108:0611,0,0,6.35,12.28,0
20230108:0711,0,0,6.9,12.34,0
20230108:0811,0,0,6.66,12.41,0
20230108:0911,1.84,1.57,6.5,12.69,0
20230108:1011,7.35,7.57,6.82,11.59,0
20230108:1111,54.21,11.92,7.12,9.52,0
20230108:1211,586.29,14.27,7.62,7.52,0
20230108:1311,57.88,14.42,8.28,6.76,0
20230108:1411,530.68,12.35,7.68,8.14,0
20230108:1511,264.57,8.26,7.75,8.76,0
20230108:1611,1.84,2.46,7.98,8.34,0
20230108:1711,0,0,7.69,10.07,0
20230108:1811,0,0,7.74,10.28,0
20230108:1911,0,0,7.53,10.48,0
20230108:2011,0,0,7.65,10.83,0
20230108:2111,0,0,7.43,12.28,0
20230108:2211,0,0,7.54,11.86,0
20230108:2311,0,0,7.53,12.14,0
20230109:0011,0,0,7.5,11.79,0
20230109:0111,0,0,7.34,11.45,0
20230109:0211,0,0,7.62,11.38,0
20230109:0311,0,0,7.5,11.79,0
20230109:0411,0,0,7.13,13.17,0
20230109:0511,0,0,6.08,13.03,0
20230109:0611,0,0,6.3,12.55,0
20230109:0711,0,0,6.92,12.69,0
20230109:0811,0,0,7.09,12.69,0
20230109:0911,0.92,1.65,7.21,12.41,0
20230109:1011,11.94,7.66,7.45,12.14,0
20230109:1111,33.08,12.03,7.92,12.07,0
20230109:1211,424.58,14.4,8.36,13.17,0
20230109:1311,514.44,14.56,8.18,12.14,0
20230109:1411,166.08,12.51,8.45,11.38,0
20230109:1511,106,8.42,8.3,9.45,0
20230109:1611,3.68,2.63,8.14,9.1,0
20230109:1711,0,0,8.07,7.72,0
20230109:1811,0,0,8.15,6.83,0
20230109:1911,0,0,8.29,6.83,0
20230109:2011,0,0,8.46,6.28,0
20230109:2111,0,0,8.54,6.62,0
